sample_size,rho_mu,avg_power,sd_power,N,se_power,Level,Model,Total_name,Total_tests,dm
900,0.05,1.9999999999999998e-4,5.231483637805968e-4,20,1.1697953037312032e-4,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1000,0.05,4.9999999999999996e-5,2.2360679774997895e-4,20,4.9999999999999996e-5,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1100,0.05,9.999999999999999e-5,3.0779350562554615e-4,20,6.882472016116851e-5,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
900,0.1,0.0028,0.001908430051942668,20,4.26737932644726e-4,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1000,0.1,0.00645,0.005355518550744495,20,0.0011975303534225849,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1100,0.1,0.0171,0.009335275487153693,20,0.0020874310577963123,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
900,0.15,0.319,0.047228448161986784,20,0.010560602056202744,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1000,0.15,0.4764,0.060241094559148,20,0.013470318247324765,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1100,0.15,0.5583,0.05455861165080319,20,0.012199676440920794,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
900,0.18,0.7542,0.04711531207133142,20,0.010535304057261347,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1000,0.18,0.84675,0.03701617711786366,20,0.00827706883027154,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1100,0.18,0.909,0.035170262558318385,20,0.007864309786691557,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
900,0.2,0.9105,0.01889722898093513,20,0.0042255488587750025,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1000,0.2,0.9569,0.01500841869015344,20,0.0033559844425961444,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
1100,0.2,0.97915,0.006158220864058579,20,0.0013770200472492473,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000
900,0.05,9.999999999999999e-5,3.077935056255461e-4,20,6.88247201611685e-5,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1000,0.05,1.5000000000000001e-4,3.6634754853252343e-4,20,8.191780219091257e-5,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1100,0.05,4.999999999999999e-5,2.2360679774997892e-4,20,4.999999999999999e-5,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
900,0.1,0.0051,0.00427846504694087,20,9.566938684316613e-4,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1000,0.1,0.00835,0.005593934685278145,20,0.0012508418217975824,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1100,0.1,0.0175,0.008500773958572056,20,0.0019008308432727097,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
900,0.15,0.3782,0.04989420386124393,20,0.01115668315169739,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1000,0.15,0.51825,0.04273526215643175,20,0.009555895121805564,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1100,0.15,0.58505,0.04641287820376898,20,0.010378235069504577,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
900,0.18,0.7817500000000001,0.03206879939656054,20,0.0071708015407513604,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1000,0.18,0.8557,0.030999320875413426,20,0.006931658873375271,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1100,0.18,0.9119,0.021230315960660457,20,0.004747242967183553,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
900,0.2,0.9146000000000001,0.02102980341275085,20,0.004702406998436797,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1000,0.2,0.9583999999999999,0.01621370440480261,20,0.0036254945216226404,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
1100,0.2,0.98095,0.0077627653781232875,20,0.0017358071078865528,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000
